DISCTAG,length,sex
3D61534B14358,157.5,F
3D61534B14357,79,F
3D61534B14356,94,F
3D61534B14355,118.5,F
3D61534B14354,86,F
3D61534B14353,80,F
3D61534B14352,78.5,F
3D61534B14351,151,F
3D61534B14350,88,F
3D61534B1434F,158,F
3D61534B1434E,99,F
3D61534B142A7,131,F
3D61534B14288,91,F
3D61534B14284,95.5,F
3D61534B14283,100,F
3D61534B14282,144.5,F
3D61534B14281,98,F
3D61534B14280,148,F
3D61534B1427F,103.5,F
3D61534B1427E,57.5,F
3D61534B1427D,92,F
3D61534B1427B,56,F
3D61534B14279,160,F
3D61534B14277,122,F
3D61534B14276,136,F
3D61534B14275,94,F
3D61534B14273,92.5,F
3D61534B14270,133,F
3D61534B1426F,96.5,F
3D61534B1426E,100.5,F
3D61534B1426D,92,F
3D61534B1426C,96,F
3D61534B1426B,157.5,F
3D61534B14268,108.5,F
3D61534B14267,84,F
3D61534B14266,109,F
3D61534B14265,136,F
3D61534B14263,106,F
3D61534B14262,170,F
3D61534B14260,102,F
3D61534B1425F,100,F
3D61534B1425E,139,F
3D61534B1425D,98,F
3D61534B1425C,101,F
3D61534B1425B,111,F
3D61534B14259,54.5,F
3D61534B14256,116,F
3D61534B14255,143,F
3D61534B14253,90.5,F
3D61534B14252,126.5,F
3D61534B14250,119.5,F
3D61534B1424F,163,F
3D61534B1424D,107,F
3D61534B1424C,116,F
3D61534B1424B,157,F
3D61534B1424A,105,F
3D61534B14249,96,F
3D61534B14248,107,F
3D61534B14247,54.5,F
3D61534B14246,119.5,F
3D61534B14245,125,F
3D61534B14244,84.5,F
3D61534B14243,82,F
3D61534B14242,118,F
3D61534B14241,97,F
3D61534B14240,104.5,F
3D61534B1423E,125,F
3D61534B1423D,116,F
3D61534B1423C,137.5,F
3D61534B1423B,112.5,F
3D61534B1423A,154,F
3D61534B14239,137,F
3D61534B14238,130,F
3D61534B14237,106,F
3D61534B14236,52,F
3D61534B14235,111,F
3D61534B14233,83.5,F
3D61534B14231,93.5,F
3D61534B14230,128.5,F
3D61534B1422C,94,F
3D61534B1422B,103,F
3D61534B1422A,144.5,F
3D61534B14229,107,F
3D61534B14228,109,F
3D61534B14227,98,F
3D61534B14226,127,F
3D61534B14225,95.5,F
3D61534B14223,100,F
3D61534B14221,107.5,F
3D61534B14220,112,F
3D61534B1421E,138.5,F
3D61534B1421A,125,F
3D61534B14219,114,F
3D61534B14218,89,F
3D61534B14215,101,F
3D61534B14214,57.5,F
3D61534B14213,144.5,F
3D61534B14212,86,F
3D61534B14211,53,F
3D61534B14210,180.5,F
3D61534B1420E,99,F
3D61534B1420D,143,F
3D61534B1420B,117,F
3D61534B1420A,84,F
3D61534B14208,114.5,F
3D61534B14207,88,F
3D61534B14206,102,F
3D61534B14205,95,F
3D61534B14204,93.5,F
3D61534B14203,80,F
3D61534B14201,102,F
3D61534B14200,109,F
3D61534B141FF,95.5,F
3D61534B141FE,113,F
3D61534B141FD,124,F
3D61534B141FB,111,F
3D61534B141F5,193,F
3D61534B141F4,43,F
3D61534B141F3,96,F
3D61534B141F1,100,F
3D61534B141F0,52,F
3D61534B141EF,90,F
3D61534B141ED,154,F
3D61534B141EC,91,F
3D61534B141EB,90,F
3D61534B141E8,172.5,F
3D61534B141E5,163.5,F
3D61534B141E2,89,F
3D61534B141E1,110.5,F
3D61534B141E0,98.5,F
3D61534B141DF,90,F
3D61534B141DD,99,F
3D61534B141DC,124,F
3D61534B141D5,134,F
3D61534B141D2,108,F
3D61534B141D1,92,F
3D61534B141CF,91,F
3D61534B141C8,82,F
3D61534B141C7,149,F
3D61534B141C6,165,F
3D61534B141C5,104,F
3D61534B141C4,88,F
3D61534B141C1,82.5,F
3D61534B141BF,85,F
3D61534B141BB,96,F
3D61534B141BA,66.2,F
3D61534B141B9,141,F
3D61534B141B8,103.5,F
3D61534B141B7,106,F
3D61534B141B6,134,F
3D61534B141B4,156,F
3D61534B141B3,94,F
3D61534B141B2,146,F
3D61534B141B1,158,F
3D61534B141B0,85,F
3D61534B141AD,102,F
3D61534B141AC,85.5,F
3D61534B141AB,145,F
3D61534B141AA,109.5,F
3D61534B141A9,74,F
3D61534B141A8,89,F
3D61534B141A7,101,F
3D61534B141A6,137,F
3D61534B141A5,90,F
3D61534B141A4,143.5,F
3D61534B141A3,128,F
3D61534B141A2,101,F
3D61534B141A1,98,F
3D61534B141A0,90,F
3D61534B1419F,132.5,F
3D61534B1419D,110,F
3D61534B1419C,98,F
3D61534B14199,127.5,F
3D61534B14198,130.5,F
3D61534B14197,117.5,F
3D61534B14196,137.5,F
3D61534B14195,128,F
3D61534B14193,86,F
3D61534B14192,54,F
3D61534B14190,157,F
3D61534B1418F,127,F
3D61534B1418E,94,F
3D61534B1418D,115,F
3D61534B1418B,91,F
3D61534B1418A,100,F
3D61534B14189,134,F
3D61534B14187,84,F
3D61534B14186,189,F
3D61534B14185,161,F
3D61534B14184,128,F
3D61534B14183,86,F
3D61534B14182,90,F
3D61534B14181,165,F
3D61534B14180,140,F
3D61534B1417F,133,F
3D61534B1417E,138.5,F
3D61534B1417D,106,F
3D61534B1417C,144,F
3D61534B1417B,90,F
3D61534B14179,167,F
3D61534B14178,92,F
3D61534B14177,155,F
3D61534B14176,154,F
3D61534B14174,93,F
3D61534B14173,103,F
3D61534B14172,132.5,F
3D61534B14171,128,F
3D61534B1416F,94,F
3D61534B1416C,102,F
3D61534B1416B,82.5,F
3D61534B1416A,108.5,F
3D61534B14169,135,F
3D61534B14168,50.5,F
3D61534B14166,103,F
3D61534B14165,142,F
3D61534B14164,147,F
3D61534B14162,129,F
3D61534B14161,112,F
3D61534B14160,94,F
3D61534B1415F,92,F
3D61534B1415E,90,F
3D61534B1415D,101.5,F
3D61534B1415B,98,F
3D61534B1415A,106.5,F
3D61534B14159,155,F
3D61534B14158,149,F
3D61534B14157,100,F
3D61534B14156,136,F
3D61534B14155,92,F
3D61534B14154,141,F
3D61534B14153,99,F
3D61534B14152,57,F
3D61534B14151,99,F
3D61534B14150,87,F
3D61534B1414F,128,F
3D61534B1414E,82,F
3D61534B1414D,61,F
3D61534B1414C,151,F
3D61534B1414B,142,F
3D61534B1414A,101,F
3D61534B14149,99,F
3D61534B14148,110,F
3D61534B14147,133,F
3D61534B14146,129,F
3D61534B14145,98,F
3D61534B14144,100,F
3D61534B14143,101,F
3D61534B14142,110,F
3D61534B14141,136,F
3D61534B14140,85,F
3D61534B1413F,128,F
3D61534B1413E,94,F
3D61534B1413C,131,F
3D61534B1413B,87,F
3D61534B1413A,80,F
3D61534B14139,90,F
3D61534B14138,96,F
3D61534B14137,96,F
3D61534B14136,97,F
3D61534B14135,111,F
3D61534B14134,104,F
3D61534B14133,158,F
3D61534B14132,122,F
3D61534B14131,83,F
3D61534B14130,90,F
3D61534B1412F,114,F
3D61534B1412E,139,F
3D61534B1412D,107,F
3D61534B1412C,91,F
3D61534B1412B,110,F
3D61534B1412A,85,F
3D61534B14129,188,F
3D61534B14128,153,F
3D61534B14127,102,F
3D61534B14126,150,F
3D61534B14125,98,F
3D61534B14124,153,F
3D61534B14123,90,F
3D61534B14122,91,F
3D61534B14121,115,F
3D61534B1411F,96,F
3D61534B1411E,139,F
3D61534B1411D,108,F
3D61534B1411C,91,F
3D61534B1411A,133,F
3D61534B14119,103,F
3D61534B14118,173,F
3D61534B14117,108,F
3D61534B14116,98,F
3D61534B14115,129,F
3D61534B14114,103,F
3D61534B14113,151,F
3D61534B14112,95,F
3D61534B14111,93,F
3D61534B14110,107,F
3D61534B1410F,100,F
3D61534B1410E,100,F
3D61534B1410D,89,F
3D61534B1410C,89,F
3D61534B1410B,139,F
3D61534B1410A,175,F
3D61534B14109,71,F
3D61534B14108,98,F
3D61534B14107,174,F
3D61534B14106,96,F
3D61534B14105,101,F
3D61534B14104,93,F
3D61534B14103,97,F
3D61534B14102,112,F
3D61534B14101,147,F
3D61534B14100,168,F
3D61534B140FF,97,F
3D61534B140FE,97,F
3D61534B140FD,99,F
3D61534B140FC,163,F
3D61534B140FB,159,F
3D61534B140FA,111,F
3D61534B140F9,120,F
3D61534B140F7,93,F
3D61534B140F6,95,F
3D61534B140F5,91,F
3D61534A71100,86,F
3D61534A710FF,43,F
3D61534A710FE,105,F
3D61534A710FD,122,F
3D61534A710FC,86,F
3D61534A710FB,87,F
3D61534A710FA,108,F
3D61534A710F9,116,F
3D61534A710F8,83,F
3D61534A710F7,167,F
3D61534A710F6,180,F
3D61534A710F5,171,F
3D61534A710F4,134,F
3D61534A710F3,144,F
3D61534A710F2,86,F
3D61534A710F1,100,F
3D61534A710F0,74,F
3D61534A710EF,44,F
3D61534A710EE,82,F
3D61534A710ED,123,F
3D61534A710EC,115,F
3D61534A710EB,139,F
3D61534A710E9,136,F
3D61534A710E8,146,F
3D61534A710E7,138,F
3D61534A710E6,111,F
3D61534A710E5,83,F
3D61534A710E4,45,F
3D61534A710E3,140,F
3D61534A710E2,90,F
3D61534A710E1,87,F
3D61534A710E0,94,F
3D61534A710DF,94,F
3D61534A710DE,89,F
3D61534A710DD,80,F
3D61534A710DC,88,F
3D61534A710DB,125,F
3D61534A710DA,151,F
3D61534A710D9,153,F
3D61534A710D8,155,F
3D61534A710D7,82,F
3D61534A710D6,107,F
3D61534A710D5,113,F
3D61534A710D4,100,F
3D61534A710D3,104,F
3D61534A710D2,166,F
3D61534A710D1,147,F
3D61534A710D0,86,F
3D61534A710CF,80,F
3D61534A710CE,156,F
3D61534A710CC,80,F
3D61534A710CB,117,F
3D61534A710CA,177,F
3D61534A710C9,99,F
3D61534A710C8,116,F
3D61534A710C7,132,F
3D61534A710C6,200,F
3D61534A710C5,88,F
3D61534A710C4,190,F
3D61534A710C3,87,F
3D61534A710C2,117,F
3D61534A710C1,96,F
3D61534A710C0,140,F
3D61534A710BF,92,F
3D61534A710BE,104,F
3D61534A710BD,124,F
3D61534A710BC,172,F
3D61534A710BB,134,F
3D61534A710BA,164,F
3D61534A710B9,134,F
3D61534A710B8,113,F
3D61534A710B7,94,F
3D61534A710B6,144,F
3D61534A710B5,132,F
3D61534A710B4,135,F
3D61534A710B3,110,F
3D61534A710B2,132,F
3D61534A710B1,94,F
3D61534A710B0,41,F
3D61534A710AF,99,F
3D61534A710AE,141,F
3D61534A710AD,62,F
3D61534A710AC,96,F
3D61534A710AB,162,F
3D61534A710AA,90,F
3D61534A710A9,137,F
3D61534A710A8,106,F
3D61534A710A7,160,F
3D61534A710A6,99,F
3D61534A710A5,94,F
3D61534A710A4,147,F
3D61534A710A3,123,F
3D61534A710A2,99,F
3D61534A710A1,163,F
3D61534A710A0,103,F
3D61534A7109F,120,F
3D61534A7109E,50,F
3D61534A7109D,133,F
3D61534A7109C,120,F
3D61534A7109B,86,F
3D61534A7109A,102,F
3D61534A71099,123,F
3D61534A71097,115,F
3D61534A71096,141,F
3D61534A71095,121,F
3D61534A71093,89,F
3D61534A71092,114,F
3D61534A7108E,148,F
3D61534A7108D,101,F
3D61534A7108C,101,F
3D61534A7108B,138,F
3D61534A71089,86,F
3D61534A71088,118,F
3D61534A71087,124,F
3D61534A71086,125,F
3D61534A71085,128,F
3D61534A71084,154,F
3D61534A71083,127,F
3D61534A71081,119,F
3D61534A71080,98,F
3D61534A7107E,159,F
3D61534A7107D,100,F
3D61534A7107B,120,F
3D61534A7107A,88,F
3D61534A71079,169,F
3D61534A71078,101,F
3D61534A71076,131,F
3D61534A71075,162,F
3D61534A71074,134,F
3D61534A71073,117,F
3D61534A71072,95,F
3D61534A71071,136,F
3D61534A71070,98,F
3D61534A7106F,166,F
3D61534A7106E,115,F
3D61534A7106D,76,F
3D61534A7106A,95,F
3D61534A71069,90,F
3D61534A71064,94,F
3D61534A71063,127,F
3D61534A71062,96,F
3D61534A71061,100,F
3D61534A71060,66,F
3D61534A7105F,157,F
3D61534A7105D,95,F
3D61534A7105C,106,F
3D61534A7105B,120,F
3D61534A71059,95,F
3D61534A71057,151,F
3D61534A71055,136,F
3D61534A71054,134,F
3D61534A71053,89,F
3D61534A71052,91,F
3D61534A71051,124,F
3D61534A71050,96,F
3D61534A7104D,121,F
3D61534A7104C,117,F
3D61534A7104B,156,F
3D61534A7104A,150,F
3D61534A71049,101,F
3D61534A71048,123,F
3D61534A71047,159,F
3D61534A71045,88,F
3D61534A71044,152,F
3D61534A71043,89,F
3D61534A71041,117,F
3D61534A71040,77,F
3D61534A7103F,126,F
3D61534A7103E,88,F
3D61534A7103C,98,F
3D61534A7103B,161,F
3D61534A7103A,87,F
3D61534A71039,178,F
3D61534A236F5,142,F
3D61534A236F2,102,F
3D61534A236EE,95,F
3D61534A236EB,97,F
3D61534A236E5,101,F
3D61534A236DD,90,F
3D61534A236DA,82,F
3D61534A236D9,100,F
3D61534A236CF,115,F
3D61534A236CE,102,F
3D61534A236CC,140,F
3D61534A236C7,80,F
3D61534A236C6,112,F
3D61534A236C2,117,F
3D61534A236C0,108,F
3D61534A236BD,112,F
3D61534A236BA,130,F
3D61534A236B8,134,F
3D61534A236B2,101,F
3D61534A236B1,113,F
3D61534A236AF,85,F
3D61534A236AD,135,F
3D61534A236A3,163,F
3D61534A2369D,154,F
3D61534A23699,107,F
3D61534A23698,82,F
3D61534A23696,83,F
3D61534A2368F,87,F
3D61534A2368E,128,F
3D61534A2368D,130,F
3D61534A2368B,84,F
3D61534A23688,81,F
3D61534A23686,81.5,F
3D61534A23685,96,F
3D61534A23684,154,F
3D61534A23681,97,F
3D61534A23680,108,F
3D61534A2367F,82,F
3D61534A2367E,146,F
3D61534A2367D,49,F
3D61534A2367C,104,F
3D61534A2367A,74,F
3D61534A23675,155,F
3D61534A23673,136,F
3D61534A23672,44,F
3D61534A23670,152,F
3D61534A2366E,93,F
3D61534A23668,107,F
3D61534A23667,153,F
3D61534A23665,174,F
3D61534A2365D,149,F
3D61534A2365A,92,F
3D61534A23654,89,F
3D61534A23650,82,F
3D61534A2364E,91,F
3D61534A2364A,44,F
3D61534A2362D,107,F
3D61534A2362C,158,F
3D61534A2362B,181,F
3D61534A2362A,98,F
3D61534A23629,105,F
3D61534A23627,97,F
3D61534A23626,85,F
3D61534A23624,78.5,F
3D61534A23623,92,F
3D61534A23622,102,F
3D61534A23621,88,F
3D61534A2361F,106,F
3D61534A2361E,124,F
3D61534A2361D,88.5,F
3D61534A2361B,82,F
3D61534A2361A,92,F
3D61534A23618,80,F
3D61534A23617,102,F
3D61534A23616,84,F
3D61534A23615,82,F
3D61534A23614,95,F
3D61534A23613,104,F
3D61534A23612,122,F
3D61534A23611,89,F
3D61534A23610,105,F
3D61534A2360F,101,F
3D61534A2360E,157,F
3D61534A2360D,73,F
3D61534A2360B,150,F
3D61534A2360A,102,F
3D61534A23607,93,F
3D61534A23606,118,F
3D61534A23605,122,F
3D61534A23604,93.5,F
3D61534A23603,129,F
3D61534A23602,87,F
3D61534A23600,135,F
3D61534A235FF,98,F
3D61534A235FE,98,F
3D61534A235FB,117,F
3D61534A235FA,90,F
3D61534A235F9,98,F
3D61534A235F8,59,F
3D61534A235F7,133,F
3D61534A235F6,40,F
3D61534A235F4,100,F
3D61534A235F3,93,F
3D61534A235F2,113,F
3D61534A235F1,128,F
3D61534A235F0,163,F
3D61534A235EF,160,F
3D61534A235EE,83,F
3D61534A235ED,80,F
3D61534A235EC,88,F
3D61534A235EB,127,F
3D61534A235EA,83,F
3D61534A235E9,128,F
3D61534A235E8,95,F
3D61534A235E7,162,F
3D61534A235E5,196,F
3D61534A235E4,83,F
3D61534A235E3,155,F
3D61534A235E1,111,F
3D61534A235E0,101,F
3D61534A235DD,116,F
3D61534A235DC,161,F
3D61534A235DA,90,F
3D61534A235D9,143,F
3D61534A235D8,111,F
3D61534A235D7,85,F
3D61534A235D4,130,F
3D61534A235D1,101,F
3D61534A235D0,92,F
3D61534A235CF,175,F
3D61534A235CE,176,F
3D61534A235CC,100,F
3D61534A235CB,110,F
3D61534A235CA,144,F
3D61534A235C9,153,F
3D61534A235C8,76,F
3D61534A235C7,150,F
3D61534A235C6,86,F
3D61534A235C5,99,F
3D61534A235C4,88,F
3D61534A235C3,92,F
3D61534A235C2,140,F
3D61534A235C1,86,F
3D61534A235C0,118,F
3D61534A235BF,93,F
3D61534A235BD,146,F
3D61534A235BC,126,F
3D61534A235BB,151,F
3D61534A235BA,100,F
3D61534A235B9,77,F
3D61534A235B8,89,F
3D61534A235B7,96,F
3D61534A235B6,137,F
3D61534A235B4,81,F
3D61534A235B3,135,F
3D61534A235B2,93,F
3D61534A235B1,144,F
3D61534A235B0,97,F
3D61534A235AF,85,F
3D61534A235AE,107,F
3D61534A235AD,110,F
3D61534A235AC,113,F
3D61534A235AB,139.5,F
3D61534A235AA,118,F
3D61534A235A9,93,F
3D61534A235A8,84,F
3D61534A235A7,143,F
3D61534A235A6,140,F
3D61534A235A4,98,F
3D61534A235A3,89,F
3D61534A235A2,92,F
3D61534A235A1,130,F
3D61534A235A0,89,F
3D61534A2359F,97,F
3D61534A2359E,70,F
3D61534A2359D,98,F
3D61534A2359C,89,F
3D61534A2359B,90,F
3D61534A2359A,136,F
3D61534A23599,90,F
3D61534A23598,109,F
3D61534A23597,101,F
3D61534A23596,133,F
3D61534A23595,116,F
3D61534A23594,114,F
3D61534A23593,42,F
3D61534A23592,86,F
3D61534A23590,116,F
3D61534A2358F,129,F
3D61534A2358E,166,F
3D61534A2358C,140,F
3D61534A2358B,96,F
3D61534A2358A,83,F
3D61534A23589,148,F
3D61534A23588,111,F
3D61534A23587,154,F
3D61534A23586,116,F
3D61534A23585,111,F
3D61534A23584,100,F
3D61534A23583,83,F
3D61534A23582,100,F
3D61534A23580,84,F
3D61534A2357F,88,F
3D61534A2357E,76,F
3D61534A2357D,106,F
3D61534A2357C,89,F
3D61534A2357A,148,F
3D61534A23579,81,F
3D61534A23578,132,F
3D61534A23577,106,F
3D61534A23576,119,F
3D61534A23575,121,F
3D61534A22DA4,122,F
3D61534A22DA3,100,F
3D61534A22DA1,108,F
3D61534A22D9F,99,F
3D61534A22D9D,83,F
3D61534A22D9C,130,F
3D61534A22D9B,41,F
3D61534A22D9A,117,F
3D61534A22D99,154,F
3D61534A22D98,95,F
3D61534A22D97,93,F
3D61534A22D96,156,F
3D61534A22D94,188,F
3D61534A22D93,82,F
3D61534A22D91,172,F
3D61534A22D90,95,F
3D61534A22D8F,153,F
3D61534A22D8E,143,F
3D61534A22D8C,91,F
3D61534A22D8B,95,F
3D61534A22D8A,101,F
3D61534A22D89,146,F
3D61534A22D88,123,F
3D61534A22D87,77,F
3D61534A22D86,144,F
3D61534A22D85,116,F
3D61534A22D83,115,F
3D61534A22D81,87,F
3D61534A22D80,170,F
3D61534A22D7F,85,F
3D61534A22D7E,138,F
3D61534A22D7D,102,F
3D61534A22D7A,104,F
3D61534A22D79,128,F
3D61534A22D78,122,F
3D61534A22D77,105,F
3D61534A22D76,95,F
3D61534A22D75,97,F
3D61534A22D74,44,F
3D61534A22D73,92,F
3D61534A22D72,147,F
3D61534A22D71,134,F
3D61534A22D70,82,F
3D61534A22D6F,117,F
3D61534A22D6D,128,F
3D61534A22D69,143,F
3D61534A22D68,155,F
3D61534A22D67,86,F
3D61534A22D65,180,F
3D61534A22D64,119,F
3D61534A22D61,89,F
3D61534A22D60,105,F
3D61534A22D5E,139,F
3D61534A22D5D,82,F
3D61534A22D5C,47,F
3D61534A22D5B,120,F
3D61534A22D5A,100,F
3D61534A22D58,92,F
3D61534A22D57,96.5,F
3D61534A22D56,126,F
3D61534A22D55,126,F
3D61534A22D54,92,F
3D61534A22D52,104,F
3D61534A22D50,96,F
3D61534A22D4E,109,F
3D61534A22D4C,89,F
3D61534A22D49,80,F
3D61534A22D48,103,F
3D61534A22D47,127,F
3D61534A22D45,86,F
3D61534A22D44,83,F
3D61534A22D43,116,F
3D61534A22D42,71,F
3D61534A22D41,171,F
3D61534A22D3F,85,F
3D61534A22D3E,85,F
3D61534A22D3D,140,F
3D61534A22D39,116,F
3D61534A22D35,85,F
3D61534A22D34,146,F
3D61534A22D33,143,F
3D61534A22D32,96,F
3D61534A22D31,116,F
3D61534A22D30,89,F
3D61534A22D2F,118,F
3D61534A22D2E,181,F
3D61534A22D2D,69,F
3D61534A22D2C,75,F
3D61534A22D2B,165,F
3D61534A22D2A,142,F
3D61534A22D28,87,F
3D61534A22D27,84,F
3D61534A22D26,119,F
3D61534A22D25,101,F
3D61534A22D24,113,F
3D61534A22D23,79,F
3D61534A22D22,97,F
3D61534A22D21,124,F
3D61534A22D20,120,F
3D61534A22D1F,121,F
3D61534A22D1E,174,F
3D61534A22D1C,107,F
3D61534A22D1B,109,F
3D61534A22D1A,119,F
3D61534A22D19,77,F
3D61534A22D18,125,F
3D61534A22D17,118,F
3D61534A22D15,140,F
3D61534A22D14,92,F
3D61534A22D13,87,F
3D61534A22D12,129,F
3D61534A22D11,101,F
3D61534A22D0F,95,F
3D61534A22D0E,93,F
3D61534A22D0D,125,F
3D61534A22D0C,108,F
3D61534A22D09,120,F
3D61534A22D08,96,F
3D61534A22D07,134,F
3D61534A22D06,131,F
3D61534A22D05,86,F
3D61534A22D03,121,F
3D61534A22D02,89,F
3D61534A22D01,126,F
3D61534A22CFF,121,F
3D61534A22CFE,114,F
3D61534A22CFD,151,F
3D61534A22CFC,124,F
3D61534A22CFB,137,F
3D61534A22CFA,148,F
3D61534A22CF9,98,F
3D61534A22CF8,102,F
3D61534A22CF6,107,F
3D61534A22CF5,65,F
3D61534A22CF4,104,F
3D61534A22CF3,99,F
3D61534A22CF2,114,F
3D61534A22CF1,112,F
3D61534A22CEF,86,F
3D61534A22CEE,167,F
3D61534A22CEA,88,F
3D61534A22CE9,68,F
3D61534A22CE6,146,F
3D61534A22CE5,90,F
3D61534A22CE4,150,F
3D61534A22CE3,99,F
3D61534A22CE2,125,F
3D61534A22CE0,87,F
3D61534A22CDF,94,F
3D61534A22CDE,91,F
3D61534A22CDD,143,F
3D61534A22CDB,84,F
3D61534A22CDA,79,F
3D61534A22CD9,118,F
3D61534A22CD8,133,F
3D61534A22CD7,91,F
3D61534A22CD5,120,F
3D61534A22CD3,190,F
3D61534A22CD2,102,F
3D61534A22CD1,90,F
3D61534A22CD0,101,F
3D61534A22CCE,132,F
3D61534A22CCD,156,F
3D61534A22CCB,109,F
3D61534A22CCA,127,F
3D61534A22CC9,138,F
3D61534A22CC8,123,F
3D61534A22CC7,84,F
3D61534A22CC6,82,F
3D61534A22CC5,140,F
3D61534A22CC4,108,F
3D61534A22CC3,99,F
3D61534A22CC2,85,F
3D61534A22CC0,96,F
3D61534A22CBF,97,F
3D61534A22CBE,89,F
3D61534A22CBD,64,F
3D61534A22CBC,112,F
3D61534A22CBB,74,F
3D61534A22CBA,98,F
3D61534A22CB9,92,F
3D61534A22CB7,94,F
3D61534A22CB5,99,F
3D61534A22CB4,77,F
3D61534A22CB3,108,F
3D61534A22CB2,102,F
3D61534A22CB1,86,F
3D61534A22CB0,91,F
3D61534A22CAF,142,F
3D61534A22CAE,89,F
3D61534A22CAD,142,F
3D61534A22CAC,142,F
3D61534A22CAB,94,F
3D61534A22CAA,127,F
3D61534A22CA8,84,F
3D61534A22CA7,70,F
3D61534A22CA5,90,F
3D61534A22CA4,84,F
3D61534A22CA3,92,F
3D61534A22CA2,74,F
3D61534A22CA1,131,F
3D61534A22CA0,90,F
3D61534A22C9E,90,F
3D61534A22C9D,96,F
3D61534A22C9C,138,F
3D61534A22C9B,112,F
3D61534A22C9A,103,F
3D61534A22C99,101,F
3D61534A22C98,78,F
3D61534A22C97,131,F
3D61534A22C96,93,F
3D61534A22C95,88,F
3D61534A22C94,141,F
3D61534A22C93,102,F
3D61534A22C92,112,F
3D61534A22C91,151,F
3D61534A22C8F,94,F
3D61534A22C8E,77,F
3D61534A22C8D,119,F
3D61534A22C8C,90,F
3D61534A22C8B,83,F
3D61534A22C89,87,F
3D61534A22C88,94,F
3D61534A22C87,82,F
3D61534A22C86,95,F
3D61534A22C85,84,F
3D61534A22C84,83,F
3D61534A22C83,114,F
3D61534A22C82,83,F
3D61534A22C80,145,F
3D61534A22C7F,108,F
3D61534A22C7E,147,F
3D61534A22C7D,169,F
3D61534A22C7C,84,F
3D61534A22C7B,97,F
3D61534A22C7A,120,F
3D61534A22C79,92,F
3D61534A22C78,119,F
3D61534A22C77,93,F
3D61534A22C74,134,F
3D61534A22C73,89,F
3D61534A22C72,78,F
3D61534A22C71,90,F
3D61534A22C70,97,F
3D61534A22C6F,89,F
3D61534A22C6E,142,F
3D61534A22C6C,126,F
3D61534A22C6A,117,F
3D61534A22C69,97,F
3D61534A22C68,102,F
3D61534A22C67,92,F
3D61534A22C66,82,F
3D61534A22C63,93,F
3D61534A22C62,117,F
3D61534A22C5F,90,F
3D61534A22C5E,139,F
3D61534A22C5C,80,F
3D61534A22C5B,125,F
3D61534A22C59,77,F
3D61534A22C58,91,F
3D61534A22C57,105,F
3D61534A22C55,102,F
3D61534A22C54,124,F
3D61534A22C53,95,F
3D61534A22C52,146,F
3D61534A22C50,140,F
3D61534A22C4F,114,F
3D61534A22C4E,98,F
3D61534A22C4D,105,F
3D61534A22C4C,101,F
3D61534A22C4B,96,F
3D61534A22C4A,133,F
3D61534A22C49,160,F
3D61534A22C48,86,F
3D61534A22C45,106,F
3D61534A22C43,97,F
3D61534A22C41,81,F
3D61534A22C3E,102,F
